url_name,model_name,verbose_name,arabic_name,attachments_arabic,form_fields_arabic,detail_models_arabic,detail_fields_arabic
app_foreigner_record_list,ForeignerRecord*,سجل اجنبي,سجل اجنبي,السيرة الذاتية,الاسم، الوظيفة، الادارة، المرتب، نوع التوظيف,,
app_borrow_list,AppBorrowMaterial,Application: BorrowMaterials,طلب استلاف مواد,‫كشف‬‫ المواد‬ ‫المراد‬ ‫إستالفها‬، ‫موافقة‬‫الشركة‬ ‫المستلف‬ ‫منها‬,الشركة المستلف منها (كتابة)، تاريخ الاستلاف,تفاصيل المواد المستلفة,المواد المستلفة، الكمية المستلفة
app_work_plan_list,AppWorkPlan,Application: Work Plan,طلب خطة عمل,خطاب رسمي من الشركة، ملف خطة العمل,بداية الخطة، نهاية الخطة، تعليق على الخطة,,
app_technical_financial_report_list,AppTechnicalFinancialReport,Application: Technical & Financial Report,طلب تقرير فني ومالي,ملف التقرير، ملف المرفقات الاخرى,بداية التقرير، نهاية التقرير، نوع التقرير، Covering letter,,
app_change_company_name_list,AppChangeCompanyName,Application: Company Name Change,طلب تغيير اسم شركة,شهادة تأسيس، عقد تأسيس، شهادة ش7، لائحة النظام الاساسي، اخطار تغيير الاسم,الاسم الجديد، سبب التغيير,,
app_exploration_time_list,AppExplorationTime,Application: Exploration Time,طلب اعتماد مواقيت الاستكشاف,ملف مسببات تغير المواقيت,بداية مدة الاستكشاف، نهاية مدة الاستكشاف، اسباب اعتماد المواقيت,,
app_add_area_list,AppAddArea,Application: Add Area,طلب اضافة مساحة,احداثيات المساحة المضافة,المساحة بالكم2، اسباب الاضافة,,
app_remove_area_list,AppRemoveArea,Application: Remove Area,طلب تنازل عن مساحة,احداثيات المساحة المراد التنازل عنها، احداثيات المساحة المراد الاحتفاظ بها، خريطة توضيحية لمناطق التنازل والاحتفاظ بمربع الشركة، تقرير فني لمناطق التنازل,نوع التنازل، المساحة بالكم2، نسبة التنازل,,
app_tnazol_shraka_list,AppTnazolShraka,Application: Tnazol Shraka,طلب تنازل عن اسهم او شراكة,المقدرة المالية، السيرة الذاتية، ملف عقد الاتفاق,نوع التنازل، التنازل عن الاسهم لشركة، اسباب التنازل,,
app_tajmeed_list,AppTajmeed,Application: Tajmeed,طلب تجمييد,مسببات القوة القاهرة، خطاب من الجهة الامنية بالمنطقة,بداية التجمييد، نهاية التجميد، سبب التجمييد,,
app_takhali_list,AppTakhali,Application: Takhali,طلب تخلي,ملف التقرير الفني,تاريخ العرض الفني، مسببات التخلي,,
app_tamdeed_list,AppTamdeed,Application: Tamdeed,طلب تمديد/تجديد,خطة العمل المجازة، ‫التنازل‬‫ عن‬ ‫جزء‬ ‫من‬ ‫مساحة‬ ‫المربع‬,بداية التمديد، نهاية التمديد، مسببات التمديد,,
app_taaweed_list,AppTaaweed,Application: Taaweed,طلب تعويض,,بداية التعويض، نهاية التعويض، مسببات التعويض,,
app_mda_list,AppMda,Application: MDA,طلب MDA,خطة العمل المجازة,بداية الMDA، نهاية الMDA، مسببات الMDA,,
app_change_work_procedure_list,AppChangeWorkProcedure,Application: Change Work Procedure,طلب تغيير طريقة العمل,دراسة عن اسباب التغيير، دراسة للمقترح الجديد,اسباب الحاجة لتغيير طريقة العمل او المعالجة، الغرض من تغيير طريقة العمل او المعالجة، الاساس المنطقي لتغيير طريقة العمل او المعالجة,,
app_export_gold_list,AppExportGold,Application: Export Gold,طلب صادر ذهب,‫إستمارة‬‫ الانتاج ‫الموقعة‬ ‫من‬ ‫الحقل‬ ‫(‫الشحن‬‫ والترحيل‬)‬، ‫إستمارة‬‫الشحن، ‫شهادة‬‫التحصيل‬ ‫للعوائد‬ ‫الجليلة‬ ‫وشهادة‬ ‫الزكاة‬ ‫وارباح‬ ‫االعمال‬ ‫وتنمية‬ ‫المجتمع ‫المحلي‬‫ صادرة‬ ‫عن‬ ‫مصفاة‬ ‫السودان‬ ‫للذهب‬، ‫إستمارة‬‫إستلام‬ ‫معادن‬ ‫من‬ ‫المصفاة، ‫شهادة‬‫تحليل‬ ‫من‬ ‫المواصفات‬ ‫والمقاييس‬ ‫(‬‫فحص ‬‫سبائك‬ ‫الصادر‬)، ‫خطاب ‬‫معنون‬ ‫الى‬ ‫وكيل‬ ‫اول‬ ‫وزارة‬ ‫التجارة‬ ‫الخارجية‬ ‫صادرة‬‫عن‬ ‫المواصفات ‫والمقاييس‬، ‫عقد‬‫البيع‬ ‫لسبائك‬ ‫الصادر‬، ‫شهادة‬‫التحليل‬ ‫من‬ ‫المصفاة‬,اجمالي انتاج الشركة بالجرام، اجمالي الوزن الصافي بالجرام، استلام الزكاة صافي بالجرام، استلام العوائد الجليلة صافي بالجرام، استلام ارباح اعمال صافي بالجرام (للمخلفات فقط)، الكمية المباعة لبنك السودان المركزي صافي بالجرام، الكمية المراد تصديرها صافي بالجرام، متبقي الذهب عند المصفاة,,
app_export_gold_raw_list,AppExportGoldRaw,Application: Export Gold Raw,طلب صادر خام,‫خطاب‬‫ رسمي‬ ‫من‬ ‫الشركة‬، ‫صورة‬‫من‬ ‫حصيلة‬ ‫الصادر‬ ‫بعد‬ ‫التصدير، ‫تحليل‬ ‫الخام‬ ‫من‬ ‫معمل‬ ‫معتمد‬، ‫عقد‬‫بيع‬ ‫الخام، ‫حصيلة ‬‫صادر‬ ‫بعد‬ ‫التصدير، ‫صورة‬‫من‬ ‫ملف‬ ‫الشركة‬ ‫كاملا ‫ً‬ ‫لدى ‫الولاية ‫(‬‫في‬‫ حالة‬ ‫الرخصة‬ ‫الولائية)، ‫الرخصة‬‫ والسجل‬ ‫التجاري ‫(‬‫في‬‫ حالة‬ ‫الرخصة‬ ‫الولائية)، ‫العقد‬‫الولائي ‫الساري‬ ‫(‬‫في‬‫ حالة‬ ‫الرخصة‬ ‫الولائية)، ‫في‬‫ حالة‬ ‫التصدير‬ ‫عن‬ ‫طريق‬ ‫شركة‬ ‫اخري‬ ‫غير‬ ‫الشركة‬ ‫محل‬ ‫الطلب‬ ‫يجب‬ ‫إحضار عقد‬ ‫البيع‬ المحلي بين الشركتين، اضافة الى عقد البيع ‫الخارجي‬ ‫للشركة‬ ‫محل‬ التصدير ‫(‬‫في‬‫ حالة‬ ‫الرخصة‬ ‫الولائية),، النوع، الكمية بالجرام، سعر البيع، الدولة المرسل إليها، المدينة المرسل إليها، العنوان المرسل إليه,,
app_send_samples_for_analysis_list,AppSendSamplesForAnalysis,Application: Send samples for analysis,طلب ارسال عينات للخارج للتحليل,فاتورة مبدئية، استمارة وصف العينات، نتيجة التحليل السابق ان وجدت,الدولة، المدينة، العنوان، تكلفة التحليل,تفاصيل ارسال عينات للخارج للتحليل,نوع العينة، وزن العينة، طريقة  التعبئة، نوع التحليل، الغرض من التحليل
app_foreigner_procedure_list,AppForeignerProcedure,Application: Foreigner procedure,طلب اجراءات اجنبي,خطاب رسمي من الشركة، صورة من الجواز، السيرة الذاتية، شهادات الخبرة المعتمدة، صورة من الاقامة وعقد العمل في حالة كرت العمل فقط، صورة من الدعوة في حالة الزيارة ,، تاريخ البداية، تاريخ النهاية، الغرض من التصديق,تفاصيل اجراءات اجانب,الاسم، العنوان
app_aifaa_jomrki_list,AppAifaaJomrki,Application: Aifaa Jomrki,طلب اعفاء جمركي,كشف الاحتياجات المجاز، تصديق وزارة المالية المبدئي، الفواتير النهائية، بوليصة الشحن، شهادة الفحص، شهادة المنشأ، شهادة التغليف، شهادة المواصفات، قوائم التعبئة,,تفاصيل اعفاء جمركي,المواد المطلوبة
app_reexport_equipments_list,AppReexportEquipments,Application: Reexport Equipments,طلب اعادة صادر لاليات ومعدات,بوليصة الشحن، الفواتير السابقة، شهادة المواصفات,الغرض من الاحتياجات ومدى توافقها مع الخطة,تفاصيل اعادة صادر لاليات ومعدات,الاسم، الرقم المتسلسل، رقم البوليصة، رقم الفاتورة، رقم شهادة التأمين، رقم شهادة الفحص
app_requirements_list_list,AppRequirementsList,Application: Requirements List,طلب كشف احتياجات,خطة العمل المجازة، فاتورة مبدئية، شهادة المواصفات، كشف المسحوبات من الجمارك للكشف السابق ان وجد، الفواتير السابقة,,معدات المناجم، معدات المصنع، محطة الكهرباء، معدات المعمل الكيميائي، المواد الكيميائية، المتفجرات، الاليات والمتحركات,البند، الوصف، الكمية
app_visibility_study_list,AppVisibityStudy,Application: Visibity Study,طلب دراسة جدوى,المرفقات,، اسم منطقة الدراسة، نوع الدراسة، تعليق مختصر عن الدراسة,إحداثيات منطقة الدراسة,Point ID، Long/ East/ X، Lat/ West/ Y
app_local_purchase_list,AppLocalPurchase,Application: Local Purchase,طلب شراء محلي,ملف خطاب الشركة، ملف الفواتير,,,
app_explosive_permission_list,AppExplosivePermission,Application: Explosive Permission,طلب تجديد استخدام متفجرات,ملف طلب متفجرات، ملف كميات المتفجرات، ملف اخر طلب متفجرات مجاز,,,
app_restart_activity_list,AppRestartActivity,Application: Restart Activity,طلب مزاولة نشاط,اسباب مزاولة النشاط,,,
app_renewal_contract_list,AppRenewalContract,Application: Renewal Contract,طلب تجديد عقود ورخص تعدين,المرفقات,,,
app_import_permission_list,AppImportPermission,Application: Import Permission,طلب اذن ادخال مواد,ملف كشف المواد المراد ادخالها,,تفاصيل ادخال مواد,نوع المواد، الكمية
app_fuel_permission_list,AppFuelPermission,Application: Fuel Permission,طلب موافقة وقود,ملف خطاب الشركة,,تفاصيل موافقة وقود,نوع الوقود، كمية الوقود
app_whom_concern_list,AppWhomConcern,Application: Whom may concern request,طلب شهادة لمن يهمه الامر,ملف شهادة لمن يهمه الامر,الغرض من الشهادة، الموضوع,,
