url_name,model_name,verbose_name,arabic_name,attachments_arabic,form_fields_arabic,detail_models_arabic,detail_fields_arabic
app_foreigner_record_list,ForeignerRecord*,سجل اجنبي,سجل اجنبي,السيرة الذاتية,الاسم، الوظيفة، الادارة، المرتب، نوع التوظيف,,
app_gold_production_list,AppGoldProduction,Application: Gold Production,استمارة انتاج الذهب,مرفق استمارة الانتاج,رقم الاستمارة,تفاصيل استمارة الانتاج,تاريخ الصهر، رقم السبيكة، وزن السبيكة، وزن المركز الجاف، وزن الخبث، وزن الذهب المضاف للصهر، وزن الذهب المتبقي
app_borrow_list,AppBorrowMaterial,Application: BorrowMaterials,طلب استلاف مواد,‫كشف‬‫ المواد‬ ‫المراد‬ ‫إستالفها‬، ‫موافقة‬‫الشركة‬ ‫المستلف‬ ‫منها‬,الشركة المستلف منها (كتابة)، تاريخ الاستلاف,تفاصيل المواد المستلفة,المواد المستلفة، الكمية المستلفة
app_work_plan_list,AppWorkPlan,Application: Work Plan,طلب خطة عمل,خطاب رسمي من الشركة، ملف خطة العمل,بداية الخطة، نهاية الخطة، تعليق على الخطة,,
app_technical_financial_report_list,AppTechnicalFinancialReport,Application: Technical & Financial Report,طلب تقرير فني ومالي,ملف التقرير، ملف المرفقات الاخرى,بداية التقرير، نهاية التقرير، نوع التقرير، Covering letter,,
app_change_company_name_list,AppChangeCompanyName,Application: Company Name Change,طلب تغيير اسم شركة,شهادة تأسيس، عقد تأسيس، شهادة ش7، لائحة النظام الاساسي، اخطار تغيير الاسم,الاسم الجديد، سبب التغيير,,
app_tnazol_shraka_list,AppTnazolShraka,Application: Tnazol Shraka,طلب تنازل عن اسهم او شراكة,المقدرة المالية، السيرة الذاتية، ملف عقد الاتفاق,نوع التنازل، التنازل عن الاسهم لشركة، اسباب التنازل,,
app_tajmeed_list,AppTajmeed,Application: Tajmeed,طلب تجمييد,مسببات القوة القاهرة، خطاب من الجهة الامنية بالمنطقة,بداية التجمييد، نهاية التجميد، سبب التجمييد,,
app_takhali_list,AppTakhali,Application: Takhali,طلب تخلي,ملف التقرير الفني,تاريخ العرض الفني، مسببات التخلي,,
app_tamdeed_list,AppTamdeed,Application: Tamdeed,طلب تمديد/تجديد,خطة العمل المجازة، ‫التنازل‬‫ عن‬ ‫جزء‬ ‫من‬ ‫مساحة‬ ‫المربع‬,بداية التمديد، نهاية التمديد، مسببات التمديد,,
app_taaweed_list,AppTaaweed,Application: Taaweed,طلب تعويض,,بداية التعويض، نهاية التعويض، مسببات التعويض,,
app_change_work_procedure_list,AppChangeWorkProcedure,Application: Change Work Procedure,طلب تغيير طريقة العمل,دراسة عن اسباب التغيير، دراسة للمقترح الجديد,اسباب الحاجة لتغيير طريقة العمل او المعالجة، الغرض من تغيير طريقة العمل او المعالجة، الاساس المنطقي لتغيير طريقة العمل او المعالجة,,
